filepath,description
COCO_val2014_000000000042,a dog lying on top of a shoe rack with several pairs of shoes placed on it.
COCO_val2014_000000000074,a puppy is resting on the path next to the bicycle.
COCO_val2014_000000000136,a few people are watching a giraffe in an enclosed area.
COCO_val2014_000000000139,a living room with a television and a table
COCO_val2014_000000000143,several birds are perched on a small tree branch.
COCO_val2014_000000000196,"on the table are foods such as peas, carrots, bread, salad, and gravy."
COCO_val2014_000000000208,"a sink with running water and a mirror, and a godzilla toothbrush holder."
COCO_val2014_000000000241,a group of friends is enjoying a video game.
COCO_val2014_000000000257,there are many people near a very large and beautiful arch.
COCO_val2014_000000000294,a man is pointing at a pot hanging on a gray pegboard on the wall.
COCO_val2014_000000000328,three young men are sitting on a bench in formal attire.
COCO_val2014_000000000338,two people standing close to each other in the kitchen.
COCO_val2014_000000000357,"a professional baseball game is in progress, and there is a runner on first base."
COCO_val2014_000000000360,a snowboarder performing tricks off a big ramp.
COCO_val2014_000000000415,a man wearing a black shirt and blue shorts is playing tennis.
COCO_val2014_000000000428,"a baby with a tie wrapped around its neck is eating cake, and there are balloons in the background."
COCO_val2014_000000000459,a man in a suit is taking a selfie with a camera.
COCO_val2014_000000000472,a plane attempting to land on water.
COCO_val2014_000000000486,"in the commercial kitchen, there is a bowl placed on the counter, and trays are stacked on the shelf above."
COCO_val2014_000000000520,a photo of a pier and a bird flying above it.
COCO_val2014_000000000536,three women are dressed up and using their mobile phones.
COCO_val2014_000000000564,a tennis player holding a tennis racket is running.
COCO_val2014_000000000569,a man flying a kite above cement park.
COCO_val2014_000000000589,"at night, a man moving his body on the grass."
COCO_val2014_000000000590,the wallpaper made of newspapers in a very modern bathroom.
COCO_val2014_000000000626,a building with a huge four-faced clock
COCO_val2014_000000000636,the toilet appears to go on infinitely with a dazzling light.
COCO_val2014_000000000641,a large bus is coming down the street.
COCO_val2014_000000000675,the cat on the bed has its foot in the cup.
COCO_val2014_000000000692,a woman taking a picture of a baby in the mirror.
COCO_val2014_000000000715,"there are smoothies in plastic cups lined up in glass containers, and the black crate is filled with oranges, bananas, and pineapples."
COCO_val2014_000000000730,a big red bus running on the road
COCO_val2014_000000000757,the elephants are standing in a row near the water.
COCO_val2014_000000000761,a group of skiers preparing to slide down the mountain.
COCO_val2014_000000000764,a woman wearing a brown jacket is throwing a yellow frisbee.
COCO_val2014_000000000785,a person wearing skis is moving through the snow.
COCO_val2014_000000000802,you can see kitchen appliances and cabinets through the opening.
COCO_val2014_000000000827,a zebra running towards the camera.
COCO_val2014_000000000831,a man is showing off skateboarding tricks in a city park.
COCO_val2014_000000000836,a snowboarder does a backflip after jumping off a hill.
